                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9873,                 2.9205,                 1.7193,                0.36633,                0.10646,                0.15578,                0.07477,                 1.9567,                 2.7082,                 1.6931,             0.00054065,             0.00054065,             0.00054065
                      2,                 1.9034,                 2.0541,                  1.658,                0.23297,                0.15607,                0.14392,                0.06004,                 2.1146,                 2.9623,                 2.1342,              0.0010855,              0.0010855,              0.0010855
                      3,                 1.8736,                 1.9833,                 1.6778,                 0.2407,                0.23854,                0.16184,                0.06932,                 2.0037,                 2.9557,                 1.9668,              0.0016193,              0.0016193,              0.0016193
                      4,                 1.8921,                 1.9127,                 1.6437,                0.28122,                0.32061,                0.21982,                0.07899,                 2.0732,                 2.5186,                 2.0324,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.8929,                 1.9177,                  1.646,                0.16634,                 0.3778,                0.18619,                 0.0762,                 2.0215,                 5.1369,                 1.9481,               0.001601,               0.001601,               0.001601
                      6,                 1.8454,                 1.8153,                 1.6026,                0.35822,                0.33045,                0.24542,                0.10365,                 2.0009,                 3.3975,                 2.0599,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.8123,                  1.832,                 1.6189,                0.42408,                0.34666,                0.27194,                0.10911,                 2.0407,                  2.865,                 1.8993,               0.001568,               0.001568,               0.001568
                      8,                 1.7695,                 1.7563,                  1.583,                0.37953,                0.34641,                0.31323,                0.15215,                 1.8527,                 2.0407,                 1.7979,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.7787,                 1.7436,                 1.5929,                0.32686,                 0.3828,                0.31205,                0.14767,                 1.9571,                 2.0568,                 1.8205,               0.001535,               0.001535,               0.001535
                     10,                 1.7604,                 1.7316,                 1.5706,                0.39734,                0.37638,                0.35334,                0.16534,                 1.8317,                 1.8572,                 1.7233,              0.0015185,              0.0015185,              0.0015185
